Car_ID,Brand,Model_Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Horsepower,Price
969,Toyota,2023.0,,Petrol,Manual,999999.0,4.0,,295.0,56855.7
241,Tesla,2015.0,3.5,Diesel,Manual,197593.0,4.0,,100.0,41642.35
820,Honda,2022.0,4.4,Diesel,Manual,,,4.0,,64103.2
693,Tesla,,3.7,Hybrid,Automatic,171590.0,4.0,,363.0,52593.5
421,Tesla,2007.0,3.3,Hybrid,Manual,181443.0,2.0,1.0,,30346.85
1086,BMW,2007.0,2.3,Petrol,Manual,134651.0,,1.0,243.0,38877.45
1999,BMW,2020.0,4.4,Diesel,Automatic,,,1.0,186.0,53222.65
366,Hyundai,2022.0,4.3,Petrol,Automatic,99348.0,4.0,4.0,,61249.600000000006
1023,Tesla,,,Petrol,Manual,36541.0,3.0,1.0,279.0,53309.95
1241,Ford,2010.0,4.9,Electric,Manual,60659.0,,3.0,89.0,44583.05
589,BMW,2019.0,3.2,Petrol,Manual,136743.0,4.0,4.0,,51035.85
737,Ford,2018.0,,Electric,Manual,61361.0,3.0,,,42161.95
1762,Tesla,2021.0,1.0,Diesel,Manual,87643.0,4.0,4.0,,39369.85
942,Tesla,2009.0,,Electric,Automatic,27394.0,3.0,3.0,86.0,27034.3
72,Tesla,2009.0,,Petrol,Manual,55575.0,,3.0,314.0,51605.25
1408,Honda,2005.0,2700 cc,Petrol,Automatic,12942.0,,2.0,159.0,39138.9
260,Toyota,2020.0,3.5,Electric,Manual,161359.0,4.0,4.0,5000.0,52449.05
52,Honda,2020.0,2.2,Diesel,Manual,86406.0,2.0,3.0,164.0,44544.7
199,BMW,2005.0,4.0,Hybrid,Automatic,9507.0,4.0,4.0,210.0,47091.65
1789,Ford,,,Electric,Manual,82108.0,4.0,2.0,,40493.6
651,Honda,2011.0,4.6,Electric,Automatic,110338.0,3.0,1.0,278.0,54129.1
333,Hyundai,2013.0,3.3,Petrol,Automatic,,3.0,3.0,152.0,41111.3
1360,Ford,2008.0,1.7,Electric,Manual,180536.0,,3.0,214.0,26968.199999999997
594,Tesla,15,,Hybrid,Manual,56012.0,4.0,3.0,5000.0,39468.4
1392,Hyundai,2018.0,,Hybrid,Automatic,174564.0,3.0,2.0,,42510.8
1801,Toyota,,4.4,electric,Automatic,30921.0,4.0,3.0,202.0,60711.95
1315,BMW,2019.0,2.9,Diesel,Manual,89106.0,3.0,1.0,262.0,0.0
1112,Toyota,,,Electric,Automatic,164236.0,3.0,3.0,226.0,37534.2
1007,BMW,12,2.0,Electric,Automatic,,2.0,3.0,,35007.7
1327,Hyundai,2023.0,1.2,Petrol,Manual,117454.0,2.0,,397.0,53548.3
427,Honda,2019.0,2.6,Electric,Automatic,80117.0,,,182.0,48797.15
1559,BMW,,,Petrol,Automatic,198209.0,3.0,1.0,172.0,35597.55
1294,Tesla,2017.0,4000 cc,Diesel,Manual,6995.0,,2.0,344.0,63310.25
591,Tesla,2011.0,3600 cc,Petrol,Automatic,190151.0,,2.0,85.0,35402.45
1958,Honda,,4900 cc,Diesel,Automatic,86481.0,3.0,3.0,278.0,61632.95
1977,Tesla,2017.0,1.6,hybrid,Manual,29741.0,3.0,1.0,230.0,47972.95
1133,BMW,,1.5,Electric,Automatic,108509.0,3.0,1.0,352.0,49299.55
986,Honda,2019.0,,ELECTRIC,Manual,43619.0,,3.0,,53787.05
399,Toyota,,5.0,PETROL,Automatic,,3.0,4.0,,57510.8
1512,Honda,2006.0,4.4,Diesel,Automatic,132424.0,,3.0,377.0,0.0
437,Ford,2007.0,3.6,Diesel,Automatic,131244.0,,,,41454.8
193,Tesla,2023.0,3000 cc,PETROL,Manual,,4.0,1.0,120.0,52606.15
1436,Toyota,2011.0,2.6,Petrol,Automatic,143709.0,3.0,1.0,203.0,40104.55
615,Hyundai,2013.0,4500 cc,Diesel,Manual,142682.0,3.0,1.0,171.0,47419.9
1494,BMW,2023.0,2200 cc,hybrid,Manual,142098.0,,,,51631.1
577,BMW,2012.0,2.3,Petrol,Manual,148670.0,3.0,4.0,272.0,40004.5
987,Toyota,22,2.8,Electric,Automatic,12032.0,3.0,3.0,147.0,51131.4
1433,Hyundai,,,ELECTRIC,Automatic,153743.0,3.0,2.0,365.0,65440.85
707,Hyundai,,2.2,Electric,Manual,93027.0,4.0,4.0,5000.0,38877.65
1259,Ford,8,1.2,Hybrid,Manual,,3.0,4.0,,29564.25
142,Honda,10,3.5,Diesel,Manual,168944.0,4.0,4.0,266.0,41296.8
1358,Toyota,2021.0,1.3,Hybrid,Manual,65520.0,4.0,3.0,398.0,53190.0
3,BMW,,2.2,Diesel,Manual,74672.0,3.0,2.0,333.0,41894.4
1222,Honda,2011.0,3.8,Diesel,Automatic,999999.0,,4.0,328.0,48221.85
1870,Ford,2007.0,,Petrol,Manual,77788.0,3.0,3.0,5000.0,49445.6
1623,Ford,2009.0,2.2,Diesel,Manual,98590.0,,2.0,309.0,40561.5
340,Tesla,2010.0,2.3,Petrol,Automatic,,3.0,4.0,,41516.15
1770,Toyota,2014.0,,Petrol,Automatic,5569.0,3.0,,371.0,53959.55
1537,Honda,,4200 cc,Petrol,Manual,47459.0,3.0,1.0,,44632.05
484,Tesla,2009.0,4.5,DIESEL,Manual,61221.0,,,90.0,43359.95
266,Toyota,17,4300 cc,ELECTRIC,Automatic,,2.0,3.0,367.0,62628.6
377,Honda,2006.0,4500 cc,Petrol,Automatic,18092.0,,1.0,241.0,54198.4
