Horsepower,Model_Year,Mileage,Engine_Size,Doors,Owner_Count,Doors,Brand,Transmission,Fuel_Type,Price
356.0,2014.0,144011.0,4.1,2.0,1.0,2.0,Ford,Manual,petrol,61395.45
396.0,2014.0,101382.0,1.4,4.0,3.0,4.0,Honda,Manual,diesel,49188.9
243.0,2017.0,132385.0,3.6,2.0,2.0,2.0,Tesla,Automatic,electric,47151.75
155.0,2014.0,102531.0,3.0,2.0,1.0,2.0,Honda,Manual,diesel,48857.7
230.0,2017.0,33930.0,3.0,4.0,2.0,4.0,Honda,Manual,hybrid,51072.5
356.0,2017.0,186762.0,3.9,2.0,2.0,2.0,Tesla,Automatic,electric,53779.9
218.0,2014.0,135546.0,2.7,2.0,2.0,2.0,BMW,Automatic,hybrid,42736.7
312.0,2015.0,102531.0,1.4,2.0,4.0,2.0,Hyundai,Manual,petrol,40745.6
128.0,2017.0,30192.0,3.7,2.0,4.0,2.0,Ford,Manual,diesel,46337.4
226.0,2012.0,91649.0,4.7,3.0,4.0,3.0,Toyota,Manual,petrol,47253.55
132.0,2022.0,115379.0,2.2,3.0,4.0,3.0,Tesla,Automatic,electric,40017.05
226.0,2014.0,7881.0,1.2,2.0,4.0,2.0,Hyundai,Manual,petrol,37793.95
389.0,2015.0,174103.0,3.2,2.0,1.0,2.0,Hyundai,Automatic,diesel,55187.85
312.0,2013.0,199227.0,3.6,4.0,1.0,4.0,BMW,Manual,electric,51347.65
182.0,2008.0,102531.0,1.3,4.0,4.0,4.0,Honda,Automatic,electric,26390.75
387.0,2016.0,58517.0,3.8,4.0,3.0,4.0,Hyundai,Manual,diesel,60775.15
257.0,2017.0,52113.0,3.0,4.0,1.0,4.0,Hyundai,Automatic,petrol,52283.35
220.0,2014.0,102531.0,3.4,2.0,4.0,2.0,Ford,Automatic,hybrid,51614.25
226.0,2023.0,15435.0,2.7,2.0,4.0,2.0,Toyota,Manual,electric,55129.25
259.0,2018.0,35628.0,3.2,2.0,4.0,2.0,Hyundai,Manual,electric,55153.6
364.0,2022.0,139042.0,4.6,2.0,3.0,2.0,Toyota,Manual,petrol,65606.9
131.0,2014.0,127970.0,1.8,3.0,2.0,3.0,Hyundai,Automatic,electric,33562.5
240.0,2011.0,177704.0,2.6,4.0,2.0,4.0,Tesla,Manual,electric,40497.8
87.0,2013.0,92238.0,1.3,4.0,2.0,4.0,BMW,Manual,electric,28361.1
255.0,2022.0,162220.0,1.8,4.0,4.0,4.0,Toyota,Automatic,diesel,46430.0
226.0,2014.0,188187.0,3.0,3.0,2.0,3.0,Ford,Automatic,petrol,42268.65
78.0,2021.0,102531.0,4.9,2.0,4.0,2.0,Tesla,Manual,electric,55087.1
230.0,2014.0,47459.0,4.2,3.0,1.0,3.0,Honda,Manual,petrol,44632.05
372.0,2014.0,58546.0,3.0,2.0,2.0,2.0,Tesla,Automatic,electric,62939.7
246.0,2021.0,102531.0,2.1,2.0,2.0,2.0,Ford,Manual,diesel,54538.35
226.0,2021.0,179166.0,1.4,2.0,4.0,2.0,Toyota,Automatic,diesel,37346.7
230.0,2014.0,126399.0,3.6,2.0,3.0,2.0,Honda,Automatic,diesel,33061.05
72.0,2020.0,112983.0,3.6,3.0,4.0,3.0,Toyota,Automatic,hybrid,46233.85
340.0,2021.0,171129.0,1.6,2.0,3.0,2.0,Toyota,Automatic,hybrid,48512.55
263.0,2006.0,102531.0,3.0,2.0,1.0,2.0,Hyundai,Manual,hybrid,27950.55
187.0,2005.0,149490.0,2.6,4.0,3.0,4.0,Honda,Manual,electric,33138.5
231.0,2019.0,77894.0,2.4,2.0,1.0,2.0,BMW,Automatic,petrol,49533.3
254.0,2018.0,66160.0,1.9,3.0,3.0,3.0,Toyota,Manual,electric,46860.0
198.0,2017.0,194123.0,4.3,4.0,4.0,4.0,Toyota,Automatic,diesel,47298.85
369.0,2014.0,157839.0,5.0,3.0,4.0,3.0,BMW,Manual,hybrid,57252.05
347.0,2014.0,184743.0,3.0,3.0,3.0,3.0,Hyundai,Manual,electric,44098.85
264.0,2010.0,163330.0,2.3,3.0,3.0,3.0,Tesla,Automatic,electric,34920.5
226.0,2014.0,122729.0,1.9,3.0,4.0,3.0,Ford,Automatic,electric,26591.55
221.0,2014.0,102531.0,3.9,2.0,1.0,2.0,Ford,Manual,hybrid,41972.65
226.0,2019.0,90637.0,4.0,2.0,4.0,2.0,Toyota,Automatic,hybrid,67042.15
226.0,2014.0,140486.0,3.0,3.0,4.0,3.0,Ford,Manual,electric,35481.7
231.0,2014.0,102531.0,2.4,3.0,3.0,3.0,BMW,Automatic,diesel,37362.65
236.0,2014.0,154368.0,1.7,3.0,4.0,3.0,Ford,Manual,hybrid,33935.6
210.0,2006.0,102531.0,3.0,4.0,4.0,4.0,BMW,Manual,electric,27120.1
246.0,2014.0,102531.0,2.3,2.0,2.0,2.0,Honda,Manual,petrol,43348.85
376.0,2023.0,102531.0,1.2,2.0,4.0,2.0,BMW,Manual,hybrid,49694.95
330.0,2005.0,35615.0,2.6,2.0,3.0,2.0,Honda,Manual,electric,45371.25
357.0,2014.0,135156.0,5.0,4.0,4.0,4.0,Ford,Manual,electric,65391.2
120.0,2015.0,45721.0,3.6,4.0,2.0,4.0,Hyundai,Automatic,diesel,50030.95
138.0,2022.0,147181.0,1.6,2.0,3.0,2.0,Toyota,Automatic,electric,38765.95
300.0,2010.0,79489.0,3.0,2.0,3.0,2.0,BMW,Automatic,electric,48990.55
231.0,2014.0,160925.0,3.0,4.0,2.0,4.0,Tesla,Manual,electric,33193.75
131.0,2022.0,116198.0,3.0,2.0,2.0,2.0,Tesla,Automatic,electric,40952.1
230.0,2014.0,99515.0,3.3,2.0,4.0,2.0,Honda,Manual,petrol,46919.25
302.0,2006.0,55624.0,3.0,4.0,1.0,4.0,Toyota,Automatic,diesel,41038.8
333.0,2014.0,102531.0,3.5,3.0,4.0,3.0,Ford,Manual,diesel,50768.2
343.0,2014.0,134466.0,4.4,4.0,3.0,4.0,Hyundai,Manual,diesel,55852.7
231.0,2013.0,11212.0,4.5,2.0,3.0,2.0,BMW,Manual,diesel,54068.4
158.0,2014.0,102531.0,3.0,3.0,4.0,3.0,Honda,Manual,petrol,50256.35
257.0,2014.0,86144.0,4.1,4.0,3.0,4.0,Hyundai,Automatic,hybrid,42970.8
243.0,2014.0,160887.0,3.0,2.0,1.0,2.0,Tesla,Automatic,electric,41638.65
308.0,2019.0,102531.0,2.9,2.0,3.0,2.0,Honda,Manual,hybrid,58188.9
311.0,2014.0,102531.0,1.8,4.0,3.0,4.0,BMW,Automatic,hybrid,42608.4
107.0,2016.0,88029.0,4.6,2.0,4.0,2.0,BMW,Automatic,petrol,52879.55
241.0,2014.0,5559.0,4.3,2.0,3.0,2.0,Honda,Manual,hybrid,61540.05
240.0,2020.0,102531.0,3.0,4.0,4.0,4.0,Ford,Manual,diesel,57119.8
120.0,2010.0,102151.0,1.6,4.0,4.0,4.0,Honda,Automatic,petrol,31042.45
243.0,2022.0,97038.0,3.6,2.0,3.0,2.0,Tesla,Automatic,electric,46712.1
257.0,2014.0,102531.0,3.0,3.0,2.0,3.0,Hyundai,Automatic,diesel,36605.8
139.0,2008.0,172207.0,4.5,2.0,4.0,2.0,Honda,Manual,petrol,43734.65
286.0,2012.0,116769.0,3.1,2.0,4.0,2.0,Hyundai,Automatic,hybrid,46735.55
341.0,2017.0,102531.0,4.7,2.0,4.0,2.0,Hyundai,Manual,petrol,67813.65
164.0,2015.0,102531.0,1.9,3.0,4.0,3.0,Ford,Manual,electric,38950.0
